_id,Date,CA,CAName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
1,20210109,S12000005,Clackmannanshire,24,1278,2479.62747380675,0,48,93.1315483119907,15114,29324.7962747381
2,20210109,S12000006,Dumfries & Galloway,44,2646,1777.50906892382,0,73,49.0393658471047,33481,22491.6028483139
3,20210109,S12000008,East Ayrshire,34,3983,3264.48651749857,4,138,113.105483157118,30103,24672.5678223096
4,20210109,S12000010,East Lothian,9,1860,1736.85684937903,1,74,69.1007563731441,22201,20731.1607059483
5,20210109,S12000011,East Renfrewshire,25,3261,3413.58735475767,0,119,124.568198471684,24453,25597.1945985554
6,20210109,S12000013,Na h-Eileanan Siar,3,112,419.161676646707,0,1,3.74251497005988,4202,15726.0479041916
7,20210109,S12000014,Falkirk,45,3413,2121.3251289701,5,123,76.4497482752191,37685,23422.8354776555
8,20210109,S12000017,Highland,91,1904,807.361234787771,0,33,13.9931306449561,42900,18191.0698384429
9,20210109,S12000018,Inverclyde,43,2013,2587.40359897172,4,82,105.398457583548,20991,26980.7197943445
10,20210109,S12000019,Midlothian,21,2138,2312.35128704305,1,123,133.030499675535,21361,23102.9634436513
11,20210109,S12000020,Moray,19,608,634.523064078481,0,15,15.6543519098309,16709,17437.904404091
12,20210109,S12000021,North Ayrshire,44,4009,2975.35995250111,4,166,123.200237494434,30937,22960.5165503933
13,20210109,S12000023,Orkney Islands,3,45,202.065559048047,0,2,8.98069151324652,2954,13264.4813650651
14,20210109,S12000026,Scottish Borders,44,2145,1856.98207947364,1,65,56.2721842264739,24309,21044.9311747901
15,20210109,S12000027,Shetland Islands,2,172,750.43630017452,0,6,26.1780104712042,5035,21967.7137870855
16,20210109,S12000028,South Ayrshire,31,2810,2495.33789183909,0,146,129.651007903383,26786,23786.5198472605
17,20210109,S12000029,South Lanarkshire,115,13168,4108.19580070508,9,436,136.024709075594,83354,26005.0541290987
18,20210109,S12000030,Stirling,19,1939,2058.16792272583,2,67,71.1177157414287,24722,26241.3756501433
19,20210109,S12000033,Aberdeen City,87,5010,2190.93016136791,4,158,69.0952026938383,52630,23015.6994795994
20,20210109,S12000034,Aberdeenshire,86,3942,1509.13058458711,4,120,45.9400482370506,51860,19853.7575131121
21,20210109,S12000035,Argyll & Bute,5,989,1151.74100384302,1,54,62.8857575404681,17159,19982.5317340165
22,20210109,S12000036,City of Edinburgh,155,11999,2285.8285866687,8,396,75.4386299125598,114902,21889.013773265
23,20210109,S12000038,Renfrewshire,78,7068,3946.3986599665,3,241,134.561697375768,48497,27078.1686208822
24,20210109,S12000039,West Dunbartonshire,36,2840,3193.52299561453,0,118,132.688631507928,24573,27631.8452715619
25,20210109,S12000040,West Lothian,42,4741,2589.29546695795,3,202,110.322228290552,40256,21985.8001092299
26,20210109,S12000041,Angus,33,1999,1720.30981067126,2,71,61.1015490533563,24240,20860.5851979346
27,20210109,S12000042,Dundee City,58,4965,3325.07366729172,2,160,107.1524243236,38116,25526.3862844897
28,20210109,S12000045,East Dunbartonshire,36,3563,3279.63917525773,1,139,127.945508100147,27266,25097.5699558174
29,20210109,S12000047,Fife,105,7376,1974.5683308794,11,243,65.0515325926917,79127,21182.4387632178
30,20210109,S12000048,Perth & Kinross,45,2886,1899.30898321816,3,115,75.6827903915762,33275,21898.6508719974
31,20210109,S12000049,Glasgow City,257,27874,4402.6408895628,4,793,125.252716704574,172603,27262.2883497599
32,20210109,S12000050,North Lanarkshire,188,14228,4167.91165011571,15,428,125.37715675074,88790,26009.9012801359
